"","decayrate","logsd","sdmean","saleprob","base_awelfare","base_twelfare","base_assetprice","rot_awelfare","rot_twelfare","alloc_tau","alloc_tau_awelfare","total_tau","total_tau_twelfare","total_tau_awelfare"
"25",0.928,1.01970655300934,0.199774731857292,0.0528900175107303,3.67860362145126,5.77327117776649,106.828045372077,3.98863560112691,6.05127246103419,0.0922777714702253,4.10847575768637,0.0422349809536703,6.07456536927147,4.05266267398063
"26",0.93,1.01416282099419,0.199762388815543,0.0521059524169047,3.68161225014657,5.78829143245688,107.440638297826,3.98877251104932,6.06409258905192,0.0908788377895577,4.10739956219433,0.0416697395621278,6.08760674541739,4.05245180521843
"27",0.932,1.00856574160143,0.199751013803682,0.0513071517259992,3.68494957489538,5.80380937330444,108.061849718862,3.98922183088045,6.07740826146266,0.0895114619070224,4.10664314383991,0.0413292433900926,6.10117594125272,4.05325547417241
"28",0.934,1.0029262965195,0.199738665167198,0.0504910675588256,3.68871599825146,5.82060468669232,108.726323110484,3.99009817852891,6.09200626275513,0.0878754602203105,4.10632190834188,0.0405339868064331,6.11604061679547,4.05319913113925
"29",0.936,0.997215997342999,0.199723364728417,0.0496592012438074,3.69277603725215,5.83817393760458,109.415292917974,3.99123957523134,6.10736054794919,0.0859993042936785,4.10627183317276,0.0402059872418061,6.13169363862693,4.05482155922319
"30",0.938,0.991566838465998,0.199729356484557,0.0488052296021437,3.69801442031426,5.85770660903588,110.144301624803,3.9936534045597,6.12478594167329,0.0843572921786658,4.10753425790873,0.039629601777318,6.14945453510896,4.05705925087083
"31",0.94,0.985759779301131,0.199707297738599,0.0479372377244708,3.70307299634424,5.87756085267342,110.898880672788,3.99577611737995,6.14243052864012,0.0827337119089678,4.1084890688186,0.0391740455414348,6.16744463139599,4.05938338122057
"32",0.942,0.980014758049192,0.199706271120941,0.0470466907450754,3.7094295480943,5.89963014996471,111.700230695391,3.99927772439764,6.16238380771365,0.0809421749058685,4.11087259322943,0.0386886698340138,6.1878050434074,4.06309217345068
"33",0.944,0.974159778690588,0.199684442738412,0.0461367840736683,3.71601849705548,5.92276158078259,112.543897270082,4.00294245570235,6.18334068042949,0.0791345323203763,4.11343010012347,0.0381026983591442,6.20919117681569,4.06671842634441
"34",0.946,0.96832697403702,0.199668836991511,0.0452058743491999,3.72377826042663,5.94795213375357,113.432867539673,4.00782899948286,6.20641962899294,0.0773700585266791,4.11723061325826,0.0376829335104921,6.23275355972912,4.07213108735086
"35",0.948,0.962468874577653,0.199650397926731,0.0442506515253041,3.73246873657794,5.97542501176511,114.390770034102,4.01363017930895,6.23177522827203,0.0756051672512519,4.12199966812136,0.0370869650634163,6.25864916703188,4.07803872937865
"36",0.95,0.956623192166733,0.199639899496582,0.0432730901318972,3.74243120206946,6.00549191141597,115.416096176672,4.02074945049464,6.25978029719865,0.0736254834582484,4.12811115265887,0.0365940749614816,6.28724067695811,4.08564347070033
"37",0.952,0.950800457498427,0.199616641334571,0.0422680083179623,3.75381875608273,6.03822948178509,116.504947010626,4.02934058681758,6.29051873856285,0.0716912978674196,4.1357465986204,0.0359659009766406,6.31863456857196,4.09443016690589
"38",0.954,0.945007246500254,0.199602122817066,0.0412386011069268,3.76681189823644,6.07448148182718,117.691148763127,4.03957265589001,6.32481347283933,0.0696509938458134,4.1450664324641,0.0354007254452557,6.35364789368288,4.10514470772351
"39",0.956,0.939273456563489,0.199580517465617,0.0401788475612275,3.78174122022439,6.11462628946825,118.977138531437,4.05180227547755,6.36307554291581,0.0677411796019809,4.15645138617731,0.0349141681147752,6.39271221989999,4.11821451532837
"40",0.958,0.933661215223789,0.199556869776585,0.039088037357384,3.79920076047394,6.15973326934367,120.387157952356,4.06665233439502,6.40640055773999,0.0659558179187759,4.17054615029507,0.0343675021703127,6.4369451774094,4.13388610380565
"41",0.96,0.928167164321548,0.199529547679015,0.0379650248263703,3.81931992439283,6.20998345080861,121.923839847204,4.08427910161122,6.45499845004157,0.0634183368541434,4.18751801045956,0.0337165730804106,6.48657768307053,4.15220553532514
"42",0.962,0.922824612507223,0.199492036700626,0.0368091135763313,3.84261633832514,6.26669482859335,123.628003003678,4.10518686873374,6.51016944716984,0.0615674965199348,4.20786166946129,0.0332161289924023,6.54288664144395,4.17440884664326
"43",0.964,0.917795654825141,0.19946001555588,0.0356140254527211,3.87050638420746,6.33223441810021,125.54812972853,4.13090759582945,6.57439714685393,0.0594081799079605,4.23318230073272,0.0324902503814563,6.60842945781134,4.2010147180179
"44",0.966,0.913226638739543,0.199443271418058,0.0343744333079902,3.90445495626689,6.40936941297753,127.750637292242,4.16295667900301,6.65049815441134,0.0572062530524837,4.26506284761147,0.0317310703143418,6.68607718398204,4.23417300233031
"45",0.968,0.909080669884857,0.199403201078513,0.0330927019264358,3.94466704478124,6.49854729796376,130.247892912309,4.20153033801842,6.73891164961458,0.0549080099930265,4.30368719522416,0.0310837762372317,6.77627481966782,4.27450800146131
"46",0.97,0.905661384054075,0.199362036950079,0.0317597579235468,3.99404632737961,6.60509532476306,133.163498866556,4.2497059905517,6.84513667265718,0.0526117860699166,4.35225118051322,0.0304243011303735,6.88461018540375,4.32485513774162
"47",0.972,0.903178841756132,0.199300344796737,0.0303732381979836,4.05498964812618,6.73349472038476,136.603758685187,4.31006905935365,6.97384046361383,0.0504688528921636,4.41345240945939,0.0296607814290535,7.01586956012424,4.38766103040507
"48",0.974,0.902167919713839,0.199256745886849,0.0289218397352262,4.13302055588541,6.89390210752451,140.804959133594,4.38843756984913,7.1354699065032,0.0479291099867624,4.49330894670992,0.02880965382869,7.18066062430191,4.46900191729587
"49",0.976,0.90314004092445,0.199187341515288,0.0273988218683871,4.23412881236431,7.09762740920978,146.038428439119,4.49123089697892,7.34176050332524,0.0453235713574077,4.59849128553004,0.027933619973155,7.39093986397085,4.57575233975053
"50",0.978,0.907083328434018,0.199099231837497,0.0257925235605633,4.36975413448164,7.36589057507954,152.802958470493,4.63049162192853,7.61452580492355,0.0427728607368614,4.74152642161801,0.0269843160550845,7.66894687753296,4.72032002608797
"51",0.98,0.915715141160527,0.198993217704105,0.0240856308668281,4.56036641353494,7.73692013436454,162.004239762309,4.82804459686644,7.99333297496069,0.0396843034672936,4.94511979940916,0.0259864768884136,8.0550087889534,4.92552244809567
